,entity,img_url
0,Couch,https://i.ebayimg.com/images/i/160681699168-0-1/s-l1000.jpg
1,PlayStation,https://upload.wikimedia.org/wikipedia/commons/b/b6/Playstation_image.jpg
2,PS4,[]
3,Xbox,[]
4,Xbox One X,[]
5,Photoshop,https://cms-assets.tutsplus.com/uploads/users/346/posts/30944/image/coolphoto1.jpg
6,Apple TV,https://www.1store.fi/media/catalog/product/cache/1/image/620x620/9df78eab33525d08d6e5fb8d27136e95/M/R/MR912KK_A_28476_5b1e2469137ec4.54147002_apple-tv-32gb-hero_1.jpg
7,Epson 5050UB,https://h-m-entertainment.com/wp-content/uploads/2019/06/epson-5050ub-2.jpg
8,Tactile Transducers,https://www.tnddesignlabs.com/wp-content/uploads/2019/11/xk1000-tactile-transducer.jpg
9,Android,https://cdn.wccftech.com/wp-content/uploads/2018/01/Android-Logo.jpg
10,Drivecore Amp,[]
11,Yamaha,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Yamaha_R1_50th_Anniversary_cropped.jpg/1168px-Yamaha_R1_50th_Anniversary_cropped.jpg
12,AppleTV,https://www.1store.fi/media/catalog/product/cache/1/image/620x620/9df78eab33525d08d6e5fb8d27136e95/M/R/MR912KK_A_28476_5b1e2469137ec4.54147002_apple-tv-32gb-hero_1.jpg
13,Soffit,https://allurausa.com/uploads/image/file/1104/what_is_soffit.jpg
14,8C,https://images.alphacoders.com/466/thumb-1920-466345.jpg
15,A500 - 5,https://i.ebayimg.com/images/g/CzsAAOSwviBZ29dy/s-l640.jpg
16,LG B7,http://flatpanelshd.com/pictures/lgb7_large_8.jpg
17,Roku,https://i.ebayimg.com/images/i/302306325709-0-1/s-l1000.jpg
18,iPad,[]
19,Focal Twin6,http://www.bhphotovideo.com/images/images1000x1000/687645.jpg
20,MM7055,https://i.ebayimg.com/images/g/OjkAAOSwq1FfqHGn/s-l640.jpg
21,PolkAudio Monitor,https://img.canuckaudiomart.com/uploads/large/1231130-cab1b014-polk-audio-monitor-5-speakers.jpg
22,AVR-1613 Receiver,https://i.ebayimg.com/images/g/p9UAAOSwaB5Xoln9/s-l600.jpg
23,Deconovo Blackout Curtains x2,[]
24,Q90T,https://i.ebayimg.com/images/g/CiEAAOSwyVZe3mQp/s-l640.jpg
25,Blu-ray,[]
26,Challenger,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/1970_Dodge_Challenger_RT_426_Hemi_(22162094610).jpg/1024px-1970_Dodge_Challenger_RT_426_Hemi_(22162094610).jpg
27,Xbox 360,http://images.fanpop.com/images/image_uploads/Xbox-360-microsoft-xbox-360-247059_1181_1740.jpg
28,Accessories: Shield,https://i.ebayimg.com/images/i/232506169608-0-1/s-l1000.jpg
29,GIK Acoustics - 4 Impression Series Acoustic Diffuser/Absorber Panels,[]
30,Reel Home Theater Carpet,https://s.yimg.com/aah/htmarket/reel-home-theater-carpet-16.jpg
31,Thermaltake View 71 RGB,https://img.pccomponentes.com/articles/24/243012/a23.jpg
32,CX 48,https://cdn.shopify.com/s/files/1/0024/9803/5810/products/514719-Product-5-I-637505515747939460_1000x1000.jpg
33,Predator Ultrawide Gaming Monitor,https://www.computerlounge.co.nz/data/media/images/catalogue/Products2/Peripherals/Monitors/Acer/33700_2.jpg
34,4K Bluray,https://i.ebayimg.com/images/g/3bQAAOSweZJaO-wO/s-l600.jpg
35,Auralex Acoustics Sound Damping Products,https://i.ebayimg.com/images/g/hiUAAOSwmm1gAaE0/s-l400.jpg
36,Gaming Motherboard LGA1151,https://www.bhphotovideo.com/images/images2500x2500/msi_z270_gaming_pro_computer_1306943.jpg
37,CX,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Citroen_CX_front_20071012.jpg/1200px-Citroen_CX_front_20071012.jpg
38,Hsu VTF 3 Mk5,[]
39,Volt,[]
40,Audyssey XT-32,http://img.canuckaudiomart.com/uploads/large/1142886-audyssey-pro-calibration-kit-multieq-xt-xt32-pro-professional-microphone-mic-subeq-room-acoustics-eq.jpg
41,KEF Q100s,[]
42,Playstation 4,[]
43,Denon S750H,https://i.ebayimg.com/images/g/drwAAOSwGtNeowRX/s-l640.jpg
44,S15,https://wallpaperset.com/w/full/2/d/a/473637.jpg
45,MODS,https://i.ytimg.com/vi/VXMFmD7FGi0/maxresdefault.jpg
46,Nvidia Shield,https://i.ebayimg.com/images/g/mVoAAOSwCu5ex8nw/s-l640.jpg
47,ub420 - PS4,[]
48,Wiiu,http://img1.wikia.nocookie.net/__cb20110713153409/nintendo3ds/images/5/5f/Wii_U_logo.jpg
49,Onkyo 676E Reciever,[]
50,PB-1000,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Casio_PB-1000.jpg/637px-Casio_PB-1000.jpg
51,PB 3000,[]
52,BWAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,[]
53,El Ran Quinn x5,[]
54,Emotiva BasX A-500,https://www.norvett.com/wp-content/uploads/2018/02/Emotiva-BasX-A-500-Back.jpg
55,AVR-6400,[]
56,HDMI 2.1,https://i.ebayimg.com/images/g/t9MAAOSwpmxgV7cE/s-l400.jpg
57,FS060,https://i.ebayimg.com/images/g/PPAAAOSwfHZeuwrG/s-l640.jpg
58,Mac Mini,https://mresell.de/wp-content/uploads/attachments/refurbished_mac_mini_mresell_de_53b8d220-e1511877731330.jpg
59,Playstation 5 Disc Version \- \,https://www.korlist.com/wp-content/uploads/classified-listing/2020/12/PS5-1.jpg
60,Google TV,http://img.talkandroid.com/uploads/2012/02/Google-TV-Logo-on-HDTV-420x386.jpg
61,PX727,[]
62,2070Si,https://www.avsite.gr/forum/data/attachment-files/2013/11/65912_9f09b8961ba91dfcece155ef1489dc53.jpg
