,post_id,comment_id,entity_name,entity_type,entity_salience,entity_sentiment_score,entity_sentiment_magnitude
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
0,kfk19x,gg8tvqd,Xbox One X,CONSUMER_GOOD,0.013017958961427212,0.0,0.10000000149011612
1,kfk19x,gg8tvqd,Epson 5050UB,CONSUMER_GOOD,0.008344913832843304,0.0,0.10000000149011612
2,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
3,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
4,kfk19x,gg8tvqd,Tactile Transducers,CONSUMER_GOOD,0.007817922160029411,0.0,0.0
5,kfk19x,gg8tvqd,PlayStation,CONSUMER_GOOD,0.0030702974181622267,0.0,0.0
